Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Sugars (g)
Pork roast,3 oz.,85,310,21,24,21,0.0,0.0,"Meat, Poultry",0.0
Pork sausage,3 1/2 oz.,100,475,18,44,40,0.0,0.0,"Meat, Poultry",0.0
Turkey,3 1/2 oz.,100,265,27,15,0,0.0,0.0,"Meat, Poultry",0.0
Veal,3 oz.,85,185,23,9,8,0.0,0.0,"Meat, Poultry",0.0
Roast,3 oz.,85,305,13,14,13,0.0,0.0,"Meat, Poultry",0.0
Clams,3 oz.,85,87,12,1,0,0.0,2.0,"Fish, Seafood",0.0
Cod,3 1/2 oz.,100,170,28,5,0,0.0,0.0,"Fish, Seafood",0.0
Crab meat,3 oz.,85,90,14,2,0,0.0,1.0,"Fish, Seafood",0.0
Fish sticks fried,5,112,200,19,10,5,0.0,8.0,"Fish, Seafood",0.0
Flounder,3 1/2 oz.,100,200,30,8,0,0.0,0.0,"Fish, Seafood",0.0
Haddock,3 oz.,85,135,16,5,4,0.0,6.0,"Fish, Seafood",0.0
Halibut,3 1/2 oz.,100,182,26,8,0,0.0,0.0,"Fish, Seafood",0.0
Herring,1 small,100,211,22,13,0,0.0,0.0,"Fish, Seafood",0.0
Lobster,aver.,100,92,18,1,0,0.0,,"Fish, Seafood",0.0
Mackerel,3 oz.,85,155,18,9,0,,0.0,"Fish, Seafood",0.0
Oysters,6-8 med.,230,231,232,233,234,235.0,236.0,"Fish, Seafood",0.0
Oyster stew,1 cup,85,125,19,6,1,0.0,0.0,"Fish, Seafood",0.0
Salmon,3 oz.,85,120,17,5,1,0.0,0.0,"Fish, Seafood",0.0
Sardines,3 oz.,85,180,22,9,4,0.0,0.0,"Fish, Seafood",0.0
Scallops,3 1/2 oz.,100,104,18,8,0,0.0,10.0,"Fish, Seafood",0.0
Shad,3 oz.,85,170,20,10,0,0.0,0.0,"Fish, Seafood",0.0
Shrimp,3 oz.,85,110,23,1,0,0.0,0.0,"Fish, Seafood",0.0
Swordfish,1 steak,100,180,27,6,0,0.0,0.0,"Fish, Seafood",0.0
Tuna,3 oz.,85,170,25,7,3,0.0,0.0,"Fish, Seafood",0.0
Artichoke,1 large,100,8-44,2,t,t,2.0,10.0,Vegetables A-E,3.0
Asparagus,6 spears,96,18,1,t,t,0.5,3.0,Vegetables A-E,3.0
Beans,1 cup,125,25,1,t,t,0.8,6.0,Vegetables A-E,3.0
Lima,1 cup,160,140,8,t,t,3.0,24.0,Vegetables A-E,3.0
"Lima, dry, cooked",1 cup,192,260,16,t,t,2.0,48.0,Vegetables A-E,3.0
"Navy, baked with pork",3/4 cup,200,250,11,6,6,2.0,37.0,Vegetables A-E,0.0
Red kidney,1 cup,260,230,15,1,0,2.5,42.0,Vegetables A-E,3.0
Bean sprouts,1 cup,50,17,1,t,0,0.3,3.0,Vegetables A-E,3.0
Beet greens,1 cup,100,27,2,t,0,1.4,6.0,Vegetables A-E,3.0
Beetroots,1 cup,165,1,12,0,,,0.8,Vegetables A-E,3.0
Broccoli,1 cup,150,45,5,t,0,1.9,8.0,Vegetables A-E,1.7
Brussels sprouts,1 cup,130,60,6,t,0,1.7,12.0,Vegetables A-E,3.0
Sauerkraut,1 cup,150,32,1,t,0,1.2,7.0,Vegetables A-E,3.0
Steamed cabbage,1 cup,170,40,2,t,0,1.3,9.0,Vegetables A-E,0.0
Carrots,1 cup,150,45,1,t,0,0.9,10.0,Vegetables A-E,4.7
"Raw, grated",1 cup,110,45,1,t,0,1.2,10.0,Vegetables A-E,3.0
